,,,,,,,,,,,,
,Subject Lines,enthusiasm,urgency,surprise,trust,curiosity,greed,exclusivity,other,TOTAL,OTHER ?,Team member
,You're Invited: An Inside Look on Working at a Seed Stage Startup,4,0,3,0,0,0,3,0,10,,Clement
,Remote Students Newsletter - 8/17,5,0,0,0,5,0,0,0,10,,Clement
,Explore careers at Clorox,4,0,0,0,4,0,2,0,10,,Clement
,Your career awaits,2,5,0,0,1,0,2,0,10,,Tanish
,Welcome to the Market Games Main Rounds!,4,4,0,0,0,0,2,0,10,,Tanish
,Import your data & sync your CRM to Apollo,4,2,0,0,0,0,4,0,10,,Tanish
,Jobs are not Compromised- NEW OPENINGS 9th May,4,,,,,,,,4,,Tanish
,Business Administration? We've got you!,4,,,,,,,,4,,Tanish
,"Welcome! Are you interested in this job near Santa Clara, CA? I found it while browsing Jobcase",4,,,,,,,,4,,Tanish
,"Amazon Openings updated 12/2/2020:  Tanish, find an exciting job with Amazon!",4,,,,,,,,4,,Tanish
,Sign Up for a Late Start Class or Get Help with UC/CSU Apps!,4,,,,,,,,4,,Tanish
,10 new jobs for University of California-Berkeley students!,4,,,,,,,,4,,Tanish
,You're Invited: STEM and Business Career Development Summit!,4,,,,,,,,4,,Tanish
,"October's Hot Jobs - 43 Full-Time Jobs, 37 Part-Time Jobs, 92
 Internships, 29 Co-Founder Roles & more!",4,,,,,,,,4,,Tanish
,We've got new data science jobs for you!,4,,,,,,,,4,,Tanish
,Top companies are looking for you on WayUp!,4,,,,,,,,4,,Tanish
,Tanish $32K scholarship giveaway expires soon!,4,,,,,,,,4,,Tanish
,"Happy Holidays from Harness! Check out our gift to you & we need your
 input for our January Event!",4,,,,,,,,4,,Tanish
,"January's Hot Jobs: 36 Full-Time, 51 Part-Time, 100+ Internships!",4,,,,,,,,4,,Tanish
,TBTM Scholarship Result,4,,,,,,,,4,,Tanish
,Tanish $32K Scholarship Giveaway Expires Tonight!,4,,,,,,,,4,,Tanish
,"You're Invited: Motivation, Positivity, and Perseverance Masterclass",3,,,,,,,,3,,Tanish
,QUIZ: Your perfect job,3,,,,,,,,3,,Tanish
,NEW jobs for Business Administration majors!,3,,,,,,,,3,,Tanish
,Want to win $500?,3,,,,,,,,3,,Tanish
,Teaching math outside the classroom?,3,,,,,,,,3,,Tanish
,"Hello from Harness: Learn Why One Mentor Simply Isn't Enough -
 Harness Event: ""Building a Brand From Scratch""",3,,,,,,,,3,,Tanish
,See All the Schools You Can Transfer Your Mission Degree to,3,,,,,,,,3,,Tanish
,Launch a career at this global brand,2,,,,,,,,2,,Tanish
,Mission College is Open for All,2,,,,,,,,2,,Tanish
,Did You Know?,2,,,,,,,,2,,Tanish
,"January's Hot Jobs: 34 Full-Time, 51 Part-Time, 100+ Internships!",2,,,,,,,,2,,Tanish
,"December's Hot Jobs: 43 Full-Time Jobs, 43 Part-Time Jobs, 100+
 Internships, 32 Co-Founder Roles & more!",2,,,,,,,,2,,Tanish
,Find Ways to Pay for College This Fall,2,,,,,,,,2,,Tanish
,Virtual Open Houses Starts Later This Week,2,,,,,,,,2,,Tanish
,"Tanish, your profile's missing something...",2,,,,,,,,2,,Tanish
,Tanish's Award,2,,,,,,,,2,,Tanish
,See what's happening at Mission College,2,,,,,,,,2,,Tanish
,"Tanish, New York LIfe is hiring.",2,,,,,,,,2,,Tanish
,Do you still work at Indcisneros For Congress?,2,,,,,,,,2,,Tanish
,What's Up at Mission College This Week,2,,,,,,,,2,,Tanish
,"Hello from Harness: 1 Abnormal Goal for 2021 & How to Defeat Burnout
 as a College Student",2,,,,,,,,2,,Tanish
,Have You Visited the Student Help Center Yet?,2,,,,,,,,2,,Tanish
,Checked in with your team today?,2,,,,,,,,2,,Tanish
,New office location: Hong Kong,2,,,,,,,,2,,Tanish
,Complete your setup with the Slack desktop app,1,,,,,,,,1,,Tanish
,Notion 2.10,n.a.,,,,,,,,0,,Clement
,Julia Camacho mentioned you in Users can view all resolved issues in their district,n.a.,,,,,,,,0,,Clement
,Julia Camacho mentioned you in 12/19 Dev Meeting,n.a.,,,,,,,,0,,Clement
,"Intro Sessions to CS61A, CS61B, CS61C, CS70 Invite",n.a.,,,,,,,,0,,Clement
,Ritvik Pandey mentioned you in Calculate S&P 500 stock change up to 15 minutes after important phrase is said (determined via PF-IDF) and put in CSV for training set,n.a.,,,,,,,,0,,Clement
,CS 61A Exam Proctoring Link & PDF,n.a.,,,,,,,,0,,Clement
,Ishir V mentioned you in Research Word2Vec,n.a.,,,,,,,,0,,Clement
,"[Wejoinin] Thanks for signing up for 'DiversaTech Spring 2021 First
 Round Interview'!",n.a.,,,,,,,,0,,Tanish
,Message from Tab,n.a.,,,,,,,,0,,Tanish
,[econ 100B] Announcement #2 on 12-31-2020,n.a.,,,,,,,,0,,Tanish
,Deloitte Recruiter Coffee Chat Confirmation- 2/23/21,n.a.,,,,,,,,0,,Tanish
